year,awards_name,winner,winner_details
1964,Best Actress - Comedy or Musical,Shirley MacLaine,Irma la Douce
1964,Best Actress - Drama,Leslie Caron,The L-Shaped Room
1964,Best Director,Elia Kazan,America America
1964,World Film Favorite - Female,Sophia Loren,
1964,World Film Favorite - Male,Paul Newman,
1965,Best Actor - Comedy or Musical,Rex Harrison,My Fair Lady
1965,Best Actor - Drama,Peter O'Toole,Becket
1965,Best Actress - Comedy or Musical,Julie Andrews,Mary Poppins
1965,Best Actress - Drama,Anne Bancroft,The Pumpkin Eater
1965,Best Director,George Cukor,My Fair Lady
1965,World Film Favorite - Female,Sophia Loren,
1965,World Film Favorite - Male,Marcello Mastroianni,
1966,Best Actor - Comedy or Musical,Lee Marvin,Cat Ballou
1966,Best Actor - Drama,Omar Sharif,Doctor Zhivago
1966,Best Actress - Comedy or Musical,Julie Andrews,The Sound of Music
1966,Best Actress - Drama,Samantha Eggar,The Collector
1966,Best Director,David Lean,Doctor Zhivago
1966,World Film Favorite - Female,Natalie Wood,
1966,World Film Favorite - Male,Paul Newman,
1967,Best Actor - Comedy or Musical,Alan Arkin,The Russians Are Coming the Russians Are Coming
1967,Best Actor - Drama,Paul Scofield,A Man for All Seasons
1967,Best Actress - Comedy or Musical,Lynn Redgrave,Georgy Girl
1967,Best Actress - Drama,Anouk Aimée,A Man and a Woman
1967,Best Director,Fred Zinnemann,A Man for All Seasons
1967,World Film Favorite - Female,Julie Andrews,
1967,World Film Favorite - Male,Steve McQueen,
1968,Best Actor - Comedy or Musical,Richard Harris,Camelot
1968,Best Actor - Drama,Rod Steiger,In the Heat of the Night
1968,Best Actress - Comedy or Musical,Anne Bancroft,The Graduate
1968,Best Actress - Drama,Edith Evans,The Whisperers
1968,Best Director,Mike Nichols,The Graduate
1968,World Film Favorite - Female,Julie Andrews,
1968,World Film Favorite - Male,Laurence Harvey,
1969,Best Actor - Comedy or Musical,Ron Moody,Oliver!
1969,Best Actor - Drama,Peter O'Toole,The Lion in Winter
1969,Best Actress - Comedy or Musical,Barbra Streisand,Funny Girl
1969,Best Actress - Drama,Joanne Woodward,"Rachel, Rachel"
1969,Best Director,Paul Newman,"Rachel, Rachel"
1969,World Film Favorite - Female,Sophia Loren,
1969,World Film Favorite - Male,Sidney Poitier,
1970,Best Actor - Comedy or Musical,Peter O'Toole,"Goodbye, Mr. Chips"
1970,Best Actor - Drama,John Wayne,True Grit
1970,Best Actress - Comedy or Musical,Patty Duke,"Me, Natalie"
1970,Best Actress - Drama,Geneviève Bujold,Anne of the Thousand Days
1970,Best Director,Charles Jarrott,Anne of the Thousand Days
1970,World Film Favorite - Female,Barbra Streisand,
1970,World Film Favorite - Male,Steve McQueen,
1971,Best Actor - Comedy or Musical,Albert Finney,Scrooge
1971,Best Actor - Drama,George C. Scott,Patton
1971,Best Actress - Comedy or Musical,Carrie Snodgress,Diary of a Mad Housewife
