year,awards_name,winner,winner_details
1970,Best Actor,John Wayne,True Grit
1970,Best Actress,Maggie Smith,The Prime of Miss Jean Brodie
1970,Best Director,John Schlesinger,Midnight Cowboy
1971,Best Actor,George C. Scott,Patton
1971,Best Actress,Glenda Jackson,Women in Love
1971,Best Director,Franklin J. Schaffner,Patton
1972,Best Actor,Gene Hackman,The French Connection
1972,Best Actress,Jane Fonda,Klute
1972,Best Director,William Friedkin,The French Connection
1973,Best Actor,Marlon Brando,The Godfather
1973,Best Actress,Liza Minnelli,Cabaret
1973,Best Director,Bob Fosse,Cabaret
1974,Best Actor,Jack Lemmon,Save the Tiger
1974,Best Actress,Glenda Jackson,A Touch of Class
1974,Best Director,George Roy Hill,The Sting
1975,Best Actor,Art Carney,Harry and Tonto
1975,Best Actress,Ellen Burstyn,Alice Doesn't Live Here Anymore
1975,Best Director,Francis Ford Coppola,The Godfather: Part II
1976,Best Actor,Jack Nicholson,One Flew Over the Cuckoo's Nest
1976,Best Actress,Louise Fletcher,One Flew Over the Cuckoo's Nest
1976,Best Director,Milos Forman,One Flew Over the Cuckoo's Nest
1977,Best Actor,Peter Finch,Network
1977,Best Actress,Faye Dunaway,Network
1977,Best Director,John G. Avildsen,Rocky
1978,Best Actor,Richard Dreyfuss,The Goodbye Girl
1978,Best Actress,Diane Keaton,Annie Hall
1978,Best Director,Woody Allen,Annie Hall
1979,Best Actor,Jon Voight,Coming Home
1979,Best Actress,Jane Fonda,Coming Home
1979,Best Director,Michael Cimino,The Deer Hunter
1980,Best Actor,Dustin Hoffman,Kramer vs. Kramer
1980,Best Actress,Sally Field,Norma Rae
1980,Best Director,Robert Benton,Kramer vs. Kramer
1981,Best Actor,Robert De Niro,Raging Bull
1981,Best Actress,Sissy Spacek,Coal Miner's Daughter
1981,Best Director,Robert Redford,Ordinary People
1982,Best Actor,Henry Fonda,On Golden Pond
1982,Best Actress,Katharine Hepburn,On Golden Pond
1982,Best Director,Warren Beatty,Reds
1983,Best Actor,Ben Kingsley,Gandhi
1983,Best Actress,Meryl Streep,Sophie's Choice
1983,Best Director,Richard Attenborough,Gandhi
1984,Best Actor,Robert Duvall,Tender Mercies
1984,Best Actress,Shirley MacLaine,Terms of Endearment
1984,Best Director,James L. Brooks,Terms of Endearment
1985,Best Actor,F. Murray Abraham,Amadeus
1985,Best Actress,Sally Field,Places in the Heart
1985,Best Director,Milos Forman,Amadeus
1986,Best Actor,William Hurt,Kiss of the Spider Woman
1986,Best Actress,Geraldine Page,The Trip to Bountiful
1986,Best Director,Sydney Pollack,Out of Africa
1987,Best Actor,Paul Newman,The Color of Money
1987,Best Actress,Marlee Matlin,Children of a Lesser God
1987,Best Director,Oliver Stone,Platoon
1988,Best Actor,Michael Douglas,Wall Street
1988,Best Actress,Cher,Moonstruck
1988,Best Director,Bernardo Bertolucci,The Last Emperor
1989,Best Actor,Dustin Hoffman,Rain Man
1989,Best Actress,Jodie Foster,The Accused
1989,Best Director,Barry Levinson,Rain Man
1990,Best Actor,Daniel Day-Lewis,My Left Foot
1990,Best Actress,Jessica Tandy,Driving Miss Daisy
1990,Best Director,Oliver Stone,Born on the Fourth of July
1991,Best Actor,Jeremy Irons,Reversal of Fortune
1991,Best Actress,Kathy Bates,Misery
1991,Best Director,Kevin Costner,Dances with Wolves
1992,Best Actor,Anthony Hopkins,The Silence of the Lambs
1992,Best Actress,Jodie Foster,The Silence of the Lambs
1992,Best Director,Jonathan Demme,The Silence of the Lambs
1993,Best Actor,Al Pacino,Scent of a Woman
1993,Best Actress,Emma Thompson,Howards End
1993,Best Director,Clint Eastwood,Unforgiven
1994,Best Actor,Tom Hanks,Philadelphia
1994,Best Actress,Holly Hunter,The Piano
1994,Best Director,Steven Spielberg,Schindler's List
1995,Best Actor,Tom Hanks,Forrest Gump
1995,Best Actress,Jessica Lange,Blue Sky
1995,Best Director,Robert Zemeckis,Forrest Gump
1996,Best Actor,Nicolas Cage,Leaving Las Vegas
1996,Best Actress,Susan Sarandon,Dead Man Walking
1996,Best Director,Mel Gibson,Braveheart
1997,Best Actor,Geoffrey Rush,Shine
