web-scraper-order,web-scraper-start-url,title,detail,detail-href,year,rate,duration_hour,duration_min,duration,imdb_rating,num_vote,num_vote_clean,release_date,release_date_country,date,day,month,year,gross_us_can,gross_opening_weekend,gross_worldwide
1647968482-1127,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Wonder,Wonder,https://www.imdb.com/title/tt2543472/?ref_=adv_li_tt,2017,PG,1h,53m,113,7.9,159K,159000,"November 17, 2017 (Canada)",Canada,17-Nov-17,17,Nov,2017,"$132,422,809 ","$27,547,866 ","$306,209,289 "
1647968863-1209,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/?ref_=adv_li_tt,1982,G,1h,55m,115,7.9,396K,396000,"April 1, 1983 (Thailand)",Thailand,01-Apr-83,01,Apr,1983,"$435,110,554 ","$11,835,389 ","$792,910,554 "
1647969029-1244,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",WALL·E,WALL·E,https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt,2008,G,1h,38m,98,8.4,1.1M,1100000,"August 12, 2008 (Thailand)",Thailand,12-Aug-08,12,Aug,2008,"$223,808,164 ","$63,087,526 ","$521,311,890 "
1647963973-184,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Cable Guy,The Cable Guy,https://www.imdb.com/title/tt0115798/?ref_=adv_li_tt,1996,PG-13,1h,36m,96,6.1,162K,162000,"June 14, 1996 (United States)",United States,14-Jun-96,14,Jun,1996,"$60,240,295 ","$19,806,226 ","$102,825,796 "
1647973071-2095,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Shadow of a Doubt,Shadow of a Doubt,https://www.imdb.com/title/tt0036342/?ref_=adv_li_tt,1943,PG,1h,48m,108,7.8,64K,64000,"January 15, 1943 (United States)",United States,15-Jan-43,15,Jan,1943,null,null,$714 
1647968939-1225,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",8 Mile,8 Mile,https://www.imdb.com/title/tt0298203/?ref_=adv_li_tt,2002,R,1h,50m,110,7.2,277K,277000,"November 8, 2002 (United States)",United States,08-Nov-02,08,Nov,2002,"$116,750,901 ","$51,240,555 ","$242,875,078 "
1647977246-3007,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Entrapment,Entrapment,https://www.imdb.com/title/tt0137494/?ref_=adv_li_tt,1999,PG-13,1h,53m,113,6.3,114K,114000,"May 5, 1999 (Thailand)",Thailand,05-May-99,05,May,1999,"$87,704,396 ","$20,145,595 ","$212,404,396 "
1647968883-1213,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Cloud Atlas,Cloud Atlas,https://www.imdb.com/title/tt1371111/?ref_=adv_li_tt,2012,R,2h,52m,172,7.4,358K,358000,"November 29, 2012 (Thailand)",Thailand,29-Nov-12,29,Nov,2012,"$27,108,272 ","$9,612,247 ","$130,516,424 "
1647974855-2483,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Leviathan,Leviathan,https://www.imdb.com/title/tt2802154/?ref_=adv_li_tt,2014,R,2h,20m,140,7.6,53K,53000,"February 5, 2015 (Russia)",Russia,05-Feb-15,05,Feb,2015,"$1,092,800 ","$15,200 ","$4,439,481 "
1647965868-567,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Fracture,Fracture,https://www.imdb.com/title/tt0488120/?ref_=adv_li_tt,2007,R,1h,53m,113,7.2,201K,201000,"June 21, 2007 (Thailand)",Thailand,21-Jun-07,21,Jun,2007,"$39,015,018 ","$11,180,000 ","$92,011,561 "
