,title,pcom
107,Proof of Life,Bel Air Entertainment
107,Proof of Life,Anvil Films
108,Solaris,Mosfilm
108,Solaris,Chetvyortoe Tvorcheskoe Obedinenie
109,The Omen,Twentieth Century Fox
109,The Omen,11:11 Mediaworks
110,The Room,Wiseau-Films
111,"tick, tick...BOOM!",5000 Broadway Productions
111,"tick, tick...BOOM!",Imagine Entertainment
112,Showtime,Material
112,Showtime,NPV Entertainment
112,Showtime,Overbrook Entertainment
113,Saw VI,Twisted Pictures
113,Saw VI,A Bigger Boat
113,Saw VI,Saw VI Productions
114,The Good Dinosaur,Pixar Animation Studios
114,The Good Dinosaur,Walt Disney Pictures
115,Be Kind Rewind,New Line Cinema
115,Be Kind Rewind,Partizan Films
115,Be Kind Rewind,Partizan
116,King Richard,Warner Bros.
116,King Richard,Star Thrower Entertainment
116,King Richard,Westbrook Studios
117,Goodnight Mommy,Ulrich Seidl Film Produktion GmbH
117,Goodnight Mommy,Filmfonds Wien
117,Goodnight Mommy,Filmstandort Austria (FISA)
118,Coyote Ugly,Touchstone Pictures
118,Coyote Ugly,Jerry Bruckheimer Films
119,The Boy,Lakeshore Entertainment
119,The Boy,STX Entertainment
119,The Boy,Huayi Brothers Media
120,Mississippi Burning,Orion Pictures
121,Ava,Freckle Films
121,Ava,Leeding Media
121,Ava,Voltage Pictures
122,The Dead Don't Die,Focus Features
122,The Dead Don't Die,Kill The Head
122,The Dead Don't Die,Longride
123,Fanny and Alexander,Cinematograph AB
123,Fanny and Alexander,Svenska Filminstitutet (SFI)
123,Fanny and Alexander,Gaumont
124,Girl with a Pearl Earring,Archer Street Productions
124,Girl with a Pearl Earring,Delux Productions
124,Girl with a Pearl Earring,Pathé
125,Moonstruck,Metro-Goldwyn-Mayer (MGM)
125,Moonstruck,Star Partners
126,Star Trek: Nemesis,Paramount Pictures
126,Star Trek: Nemesis,Digital Image Associates
127,The Lady Vanishes,Gainsborough Pictures
128,The Black Dahlia,Universal Pictures
128,The Black Dahlia,Millennium Films
128,The Black Dahlia,Signature Pictures
129,Before the Devil Knows You're Dead,Capitol Films
129,Before the Devil Knows You're Dead,Funky Buddha Productions
129,Before the Devil Knows You're Dead,Unity Productions
130,Ouija: Origin of Evil,Universal Pictures
130,Ouija: Origin of Evil,Platinum Dunes
130,Ouija: Origin of Evil,Blumhouse Productions
131,Once,Bórd Scannán na hÉireann
131,Once,Raidió Teilifís Éireann (RTÉ)
131,Once,Samson Films
132,Miss Sloane,EuropaCorp
132,Miss Sloane,France 2 Cinéma
132,Miss Sloane,FilmNation Entertainment
133,Airplane II: The Sequel,Paramount Pictures
133,Airplane II: The Sequel,Howard W. Koch Productions
134,Lords of Dogtown,Columbia Pictures
134,Lords of Dogtown,Art Linson Productions
134,Lords of Dogtown,Indelible Pictures
135,Beverly Hills Cop III,Paramount Pictures
135,Beverly Hills Cop III,Eddie Murphy Productions
136,Murder by Numbers,Warner Bros.
136,Murder by Numbers,Castle Rock Entertainment
136,Murder by Numbers,Schroeder Hoffman Productions
137,Conan the Barbarian,Lionsgate
137,Conan the Barbarian,Millennium Films
137,Conan the Barbarian,Cinema Vehicle Services
138,Rio 2,Twentieth Century Fox Animation
138,Rio 2,Blue Sky Studios
138,Rio 2,FortyFour Studios
139,Our Idiot Brother,Big Beach Films
139,Our Idiot Brother,Likely Story
139,Our Idiot Brother,The Weinstein Company
140,Cobra,Warner Bros.
140,Cobra,The Cannon Group
140,Cobra,Golan-Globus Productions
141,The King,Netflix
141,The King,Plan B Entertainment
141,The King,Porchlight Films
142,The East,Dune Entertainment
142,The East,Scott Free Productions
143,Sister Act,Touchstone Pictures
143,Sister Act,Touchwood Pacific Partners 1
144,Taking Lives,Warner Bros.
144,Taking Lives,Village Roadshow Pictures
144,Taking Lives,Atmosphere Entertainment MM
145,The Grapes of Wrath,Twentieth Century Fox
146,Wanderlust,A Hot Dog
146,Wanderlust,Apatow Productions
146,Wanderlust,Relativity Media
147,The Babysitter,Netflix
147,The Babysitter,Boies Schiller Entertainment
147,The Babysitter,Wonderland Sound and Vision
148,The Rainmaker,Constellation Entertainment
148,The Rainmaker,Douglas/Reuther Productions
148,The Rainmaker,American Zoetrope
149,A Serbian Film,Contra Film
150,Snake Eyes,Paramount Pictures
150,Snake Eyes,DeBart
150,Snake Eyes,Touchstone Pictures
151,Martyrs,Eskwad
151,Martyrs,Wild Bunch
151,Martyrs,TCB Film
152,A Nightmare on Elm Street 4: The Dream Master,New Line Cinema
152,A Nightmare on Elm Street 4: The Dream Master,Heron Communications
152,A Nightmare on Elm Street 4: The Dream Master,Smart Egg Pictures
153,Cool Runnings,Walt Disney Pictures
154,The Long Kiss Goodnight,New Line Cinema
154,The Long Kiss Goodnight,Forge
154,The Long Kiss Goodnight,The Steve Tisch Company
155,The Wedding Date,Gold Circle Films
155,The Wedding Date,26 Films
155,The Wedding Date,Visionview Production
156,The Life of David Gale,Universal Pictures
156,The Life of David Gale,Intermedia Films
156,The Life of David Gale,Dirty Hands Productions
157,The Hills Have Eyes 2,Fox Atomic
157,The Hills Have Eyes 2,Craven-Maddalena Films
157,The Hills Have Eyes 2,Dune Entertainment
158,Annabelle Comes Home,New Line Cinema
158,Annabelle Comes Home,Atomic Monster
158,Annabelle Comes Home,The Safran Company
159,Veer-Zaara,Yash Raj Films
160,What's Your Number?,New Regency Productions
160,What's Your Number?,New Regency Productions
160,What's Your Number?,Contrafilm
161,Derailed,Di Bonaventura Pictures
161,Derailed,Miramax
161,Derailed,Patalex V Productions Limited
162,Underwater,Chernin Entertainment
162,Underwater,TSG Entertainment
162,Underwater,Twentieth Century Fox
163,Showgirls,Carolco Pictures
163,Showgirls,Chargeurs
163,Showgirls,United Artists
164,Splash,Touchstone Pictures
165,You're Next,Snoot Entertainment
165,You're Next,HanWay Films
166,Free State of Jones,Route One Entertainment
166,Free State of Jones,Vendian Entertainment
166,Free State of Jones,Bluegrass Films
167,The Rundown,Columbia Pictures
167,The Rundown,Universal Pictures
167,The Rundown,WWE Studios
168,The Conversation,The Directors Company
168,The Conversation,The Coppola Company
168,The Conversation,American Zoetrope
169,Space Cowboys,Clipsal Films
169,Space Cowboys,Mad Chance
169,Space Cowboys,Malpaso Productions
170,Half Baked,Robert Simonds Productions
170,Half Baked,Universal Pictures
171,Cocktail,Touchstone Pictures
171,Cocktail,Silver Screen Partners III
171,Cocktail,Interscope Communications
172,Triangle,Icon Entertainment International
172,Triangle,Framestore
172,Triangle,UK Film Council
173,Pride and Glory,New Line Cinema
173,Pride and Glory,Solaris
173,Pride and Glory,O'Connor Brothers
174,Head-On,ARTE
174,Head-On,Bavaria Film International
174,Head-On,Corazón International
175,"Synecdoche, New York",Sidney Kimmel Entertainment
175,"Synecdoche, New York",Likely Story
175,"Synecdoche, New York",Projective Testing Service
176,The Soloist,Dreamworks Pictures
176,The Soloist,Universal Pictures
176,The Soloist,StudioCanal
177,Jackie,Fox Searchlight Pictures
177,Jackie,LD Entertainment
177,Jackie,Wild Bunch
178,Silent Hill: Revelation,Davis-Films
178,Silent Hill: Revelation,Dynamic Effects Canada
178,Silent Hill: Revelation,Konami
179,Easy Rider,Pando Company Inc.
179,Easy Rider,Raybert Productions
180,Automata,Green Moon
180,Automata,Nu Boyana Viburno
181,Office Christmas Party,DreamWorks
181,Office Christmas Party,Reliance Entertainment
181,Office Christmas Party,Amblin Partners
182,Drive Angry,Summit Entertainment
182,Drive Angry,Millennium Films
182,Drive Angry,Michael De Luca Productions
183,The White Tiger,Lava Media
183,The White Tiger,ARRAY Filmworks
183,The White Tiger,Netflix
184,The Sum of All Fears,Paramount Pictures
184,The Sum of All Fears,Mace Neufeld Productions
184,The Sum of All Fears,MFP Munich Film Partners GmbH & Company I. Produktions KG
185,Blue Streak,Columbia Pictures
185,Blue Streak,IndieProd Company Productions
185,Blue Streak,Blue Streak Productions
186,Going in Style,De Line Pictures
186,Going in Style,New Line Cinema
186,Going in Style,RatPac-Dune Entertainment
187,Batman: The Killing Joke,Warner Bros. Animation
187,Batman: The Killing Joke,DC Entertainment
188,Talk to Her,El Deseo
188,Talk to Her,Antena 3 Televisión
188,Talk to Her,Good Machine
189,Dolittle,Universal Pictures
189,Dolittle,Dentsu
189,Dolittle,Perfect World Pictures
190,Ride Along,Universal Pictures
190,Ride Along,Relativity Media
190,Ride Along,Cube Vision
191,Tell No One,Trésor Films
191,Tell No One,EuropaCorp
191,Tell No One,M6 Films
192,Collateral Damage,Warner Bros.
192,Collateral Damage,Bel Air Entertainment
192,Collateral Damage,David Foster Productions
193,Insidious: The Last Key,Blumhouse Productions
193,Insidious: The Last Key,Entertainment One
193,Insidious: The Last Key,LStar Capital
194,The New World,New Line Cinema
194,The New World,Sunflower Productions
194,The New World,Sarah Green Film
195,Star Trek: The Motion Picture,Paramount Pictures
195,Star Trek: The Motion Picture,Century Associates
195,Star Trek: The Motion Picture,Robert Wise Productions
196,First Reformed,Killer Films
196,First Reformed,Omeira Studio Partners
196,First Reformed,Fibonacci Films
197,The Spiderwick Chronicles,Paramount Pictures
197,The Spiderwick Chronicles,Nickelodeon Movies
197,The Spiderwick Chronicles,The Kennedy/Marshall Company
198,Dreamcatcher,Castle Rock Entertainment
198,Dreamcatcher,Village Roadshow Pictures
198,Dreamcatcher,NPV Entertainment
199,News of the World,Perfect World Pictures
199,News of the World,Playtone
199,News of the World,Pretty Pictures
200,The Darkest Hour,Summit Entertainment
200,The Darkest Hour,New Regency Productions
200,The Darkest Hour,Bazelevs Production
201,Dan in Real Life,Touchstone Pictures
201,Dan in Real Life,Focus Features
201,Dan in Real Life,Jon Shestack Productions
202,Two Weeks Notice,Castle Rock Entertainment
202,Two Weeks Notice,Village Roadshow Pictures
202,Two Weeks Notice,NPV Entertainment
203,Sooryavanshi,Dharma Productions
203,Sooryavanshi,Reliance Entertainment
203,Sooryavanshi,Rohit Shetty Productions
204,A Streetcar Named Desire,Charles K. Feldman Group
204,A Streetcar Named Desire,Warner Bros.
205,The Inbetweeners,Film4
205,The Inbetweeners,Young Films
205,The Inbetweeners,Bwark Productions
206,Fletch,Universal Pictures
206,Fletch,Vincent Pictures
207,Persona,AB Svensk Filmindustri
208,The Fisher King,TriStar Pictures
208,The Fisher King,Columbia Pictures
209,The Secret World of Arrietty,Studio Ghibli
209,The Secret World of Arrietty,Dentsu
209,The Secret World of Arrietty,Hakuhodo DY Media Partners
210,Paycheck,Paramount Pictures
210,Paycheck,Dreamworks Pictures
210,Paycheck,Davis Entertainment
211,Johnny English Strikes Again,Universal Pictures
211,Johnny English Strikes Again,StudioCanal
211,Johnny English Strikes Again,Working Title Films
212,My Super Ex-Girlfriend,New Regency Productions
212,My Super Ex-Girlfriend,Pariah
212,My Super Ex-Girlfriend,New Regency Productions
213,I Spit on Your Grave,Cinetel Films
213,I Spit on Your Grave,Anchor Bay Films
214,Queen of the Damned,Warner Bros.
214,Queen of the Damned,Village Roadshow Pictures
214,Queen of the Damned,NPV Entertainment
215,Diabolique,Filmsonor
215,Diabolique,Vera Films
216,The Dark Crystal,Incorporated Television Company (ITC)
216,The Dark Crystal,Jim Henson Productions
216,The Dark Crystal,Henson Organisation
217,Superman II,Dovemead Films
217,Superman II,Film Export A.G.
217,Superman II,International Film Production
218,Alfie,Paramount Pictures
218,Alfie,Patalex Productions
219,First Knight,Columbia Pictures
219,First Knight,First Knight Productions
220,Mr. Holmes,Miramax
220,Mr. Holmes,Roadside Attractions
220,Mr. Holmes,BBC Films
221,Sister Act 2: Back in the Habit,Touchstone Pictures
222,Deliver Us from Evil,Screen Gems
222,Deliver Us from Evil,Jerry Bruckheimer Films
222,Deliver Us from Evil,LStar Capital
223,The Wind Rises,Studio Ghibli
223,The Wind Rises,Touchstone Pictures
223,The Wind Rises,Wild Bunch
224,Veronica Mars,Warner Bros. Digital Distribution
224,Veronica Mars,Spondoolie Productions
224,Veronica Mars,In The Groove
225,Downton Abbey,Carnival Film & Television
225,Downton Abbey,Focus Features
225,Downton Abbey,Perfect World Pictures
226,Ghost Dog: The Way of the Samurai,Pandora Filmproduktion
226,Ghost Dog: The Way of the Samurai,ARD (Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland)
226,Ghost Dog: The Way of the Samurai,ARD Degeto Film
227,James and the Giant Peach,Walt Disney Pictures
227,James and the Giant Peach,Allied Filmmakers
227,James and the Giant Peach,Skellington Productions Inc.
228,Eddie the Eagle,Hurwitz Creative
228,Eddie the Eagle,Lionsgate
228,Eddie the Eagle,Marv Films
229,Blockers,Point Grey Pictures
229,Blockers,DMG Entertainment
229,Blockers,Good Universe
230,Superman III,Dovemead Films
230,Superman III,Cantharus Productions
230,Superman III,Major Studio Partners
231,Enter the Void,Fidélité Films
231,Enter the Void,Wild Bunch
231,Enter the Void,BUF
232,A Man Called Ove,Tre Vänner Produktion AB
232,A Man Called Ove,Film i Väst
232,A Man Called Ove,Nordisk Film
233,Malignant,New Line Cinema
233,Malignant,Starlight Culture Entertainment
233,Malignant,Atomic Monster
234,The House with a Clock in Its Walls,DreamWorks
234,The House with a Clock in Its Walls,Amblin Entertainment
234,The House with a Clock in Its Walls,Mythology Entertainment
235,Space Jam: A New Legacy,Warner Bros.
235,Space Jam: A New Legacy,Warner Animation Group
235,Space Jam: A New Legacy,Proximity Media
236,The Hustle,Metro-Goldwyn-Mayer (MGM)
236,The Hustle,Camp Sugar
236,The Hustle,Cave 76
237,"As Above, So Below",Legendary Entertainment
237,"As Above, So Below",Universal Pictures
237,"As Above, So Below",Brothers Dowdle Productions
238,Ikiru,Toho Company
239,The Experiment,Typhoon
239,The Experiment,Fanes Film
239,The Experiment,Senator Film Produktion
240,Miss Congeniality 2: Armed & Fabulous,Castle Rock Entertainment
240,Miss Congeniality 2: Armed & Fabulous,Village Roadshow Pictures
240,Miss Congeniality 2: Armed & Fabulous,Fortis Films
241,"4 Months, 3 Weeks and 2 Days",Mobra Films
241,"4 Months, 3 Weeks and 2 Days",Centrul National al Cinematografiei (CNC)
241,"4 Months, 3 Weeks and 2 Days",Mindshare Media
242,Crocodile Dundee II,Paramount Pictures
242,Crocodile Dundee II,Rimfire Films
243,Hot Shots!,Twentieth Century Fox
243,Hot Shots!,Peter V. Miller Investment Corp.
244,Hotel Artemis,The Ink Factory
244,Hotel Artemis,127 Wall
244,Hotel Artemis,Marc Platt Productions
245,Titan A.E.,David Kirschner Productions
245,Titan A.E.,Fox Animation Studios
245,Titan A.E.,Twentieth Century Fox
246,Hereafter,Warner Bros.
246,Hereafter,Malpaso Productions
246,Hereafter,The Kennedy/Marshall Company
247,The Chaser,Big House
247,The Chaser,Vantage Holdings
247,The Chaser,Showbox Entertainment
248,Never Say Never Again,TaliaFilm II Productions
248,Never Say Never Again,Woodcote
248,Never Say Never Again,Producers Sales Organization (PSO)
249,Waking Life,Fox Searchlight Pictures
249,Waking Life,Independent Film Channel (IFC)
249,Waking Life,Thousand Words
250,Changing Lanes,Paramount Pictures
250,Changing Lanes,Scott Rudin Productions
251,Bloodsport,Cannon International
252,House of Flying Daggers,Beijing New Picture Film
252,House of Flying Daggers,China Film Co-Production Corporation
252,House of Flying Daggers,Edko Films
253,Widows,New Regency Productions
253,Widows,See-Saw Films
253,Widows,Film4
254,Step Up Revolution,Summit Entertainment
254,Step Up Revolution,Offspring Entertainment
255,American Graffiti,Universal Pictures
255,American Graffiti,Lucasfilm
255,American Graffiti,The Coppola Company
256,The Night of the Hunter,Paul Gregory Productions
257,All About My Mother,El Deseo
257,All About My Mother,Renn Productions
257,All About My Mother,France 2 Cinéma
258,The Spirit,Lionsgate
258,The Spirit,Dark Lot Entertainment
258,The Spirit,MWM Studios
259,Safe,IM Global
259,Safe,Lionsgate
259,Safe,Automatik Entertainment
260,The Fourth Kind,Universal Pictures
260,The Fourth Kind,Gold Circle Films
260,The Fourth Kind,Chambara Pictures
261,Star Trek II: The Wrath of Khan,Paramount Pictures
262,Coolie No. 1,Pooja Entertainment & Films
262,Coolie No. 1,Puja Films
263,The Frozen Ground,Grindstone Entertainment Group
263,The Frozen Ground,Emmett/Furla/Oasis Films (EFO Films)
263,The Frozen Ground,Cheetah Vision
264,The Hundred-Foot Journey,Amblin Entertainment
264,The Hundred-Foot Journey,Dreamworks Pictures
264,The Hundred-Foot Journey,Harpo Films
265,Bandits,Metro-Goldwyn-Mayer (MGM)
265,Bandits,Hyde Park Entertainment
