web-scraper-order,web-scraper-start-url,title,detail,detail-href,year,rate,duration,imdb_rating,num_vote,release_date,gross_us_can,gross_opening_weekend,gross_worldwide,Date
1647975420-2607,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Any Given Sunday,Any Given Sunday,https://www.imdb.com/title/tt0146838/?ref_=adv_li_tt,1999,R,2h 42m,6.9,118K,"June 9, 2000 (Thailand)","$75,530,832 ","$13,584,625 ","$100,230,832 ","June 9, 2000"
1647970432-1541,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Birds of Prey,Birds of Prey,https://www.imdb.com/title/tt7713068/?ref_=adv_li_tt,2020,18,1h 49m,6,225K,"February 5, 2020 (Thailand)","$84,172,791 ","$33,010,017 ","$201,872,791 ","February 5, 2020"
1647967953-1013,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,https://www.imdb.com/title/tt1298650/?ref_=adv_li_tt,2011,PG-13,2h 17m,6.6,510K,"May 19, 2011 (Thailand)","$241,071,802 ","$90,151,958 ","$1,045,713,802 ","May 19, 2011"
1647970938-1648,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",1917,1917,https://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,R,1h 59m,8.3,539K,"January 30, 2020 (Thailand)","$159,227,644 ","$576,216 ","$384,919,389 ","January 30, 2020"
1647963524-87,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Promise,The Promise,https://www.imdb.com/title/tt4776998/?ref_=adv_li_tt,2016,PG-13,2h 13m,6,175K,"April 21, 2017 (United States)","$8,224,288 ","$4,095,718 ","$12,448,676 ","April 21, 2017"
1647972814-2040,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",A Tale of Two Sisters,A Tale of Two Sisters,https://www.imdb.com/title/tt0365376/?ref_=adv_li_tt,2003,R,1h 54m,7.1,61K,"June 13, 2003 (South Korea)","$72,541 ","$1,060 ","$1,062,878 ","June 13, 2003"
1647976421-2826,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Kiss the Girls,Kiss the Girls,https://www.imdb.com/title/tt0119468/?ref_=adv_li_tt,1997,R,1h 55m,6.6,72K,"October 3, 1997 (United States)","$60,527,873 ","$13,215,167 ","$60,527,873 ","October 3, 1997"
1647974543-2416,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Valhalla Rising,Valhalla Rising,https://www.imdb.com/title/tt0862467/?ref_=adv_li_tt,2009,Not Rated,1h 33m,6,59K,"March 31, 2010 (Denmark)","$30,638 ","$7,905 ","$282,737 ","March 31, 2010"
1647965777-547,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Disaster Artist,The Disaster Artist,https://www.imdb.com/title/tt3521126/?ref_=adv_li_tt,2017,R,1h 44m,7.3,150K,"December 8, 2017 (United States)","$21,120,616 ","$1,211,345 ","$29,820,616 ","December 8, 2017"
1647971176-1699,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Deadpool,Deadpool,https://www.imdb.com/title/tt1431045/?ref_=adv_li_tt,2016,15,1h 48m,8,987K,"February 11, 2016 (Thailand)","$363,070,709 ","$132,434,639 ","$782,836,791 ","February 11, 2016"
1647979773-3558,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Crash,Crash,https://www.imdb.com/title/tt0115964/?ref_=adv_li_tt,1996,NC-17,1h 40m,6.4,58K,"October 4, 1996 (Canada)","$2,664,812 ","$738,339 ","$2,671,291 ","October 4, 1996"
1647971789-1817,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Queen,Queen,https://www.imdb.com/title/tt3322420/?ref_=adv_li_tt,2013,Not Rated,2h 26m,8.2,65K,"March 7, 2014 (India)",null,null,"$502,391 ","March 7, 2014"
1647976965-2945,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Sexy Beast,Sexy Beast,https://www.imdb.com/title/tt0203119/?ref_=adv_li_tt,2000,R,1h 29m,7.3,60K,"January 12, 2001 (United Kingdom)","$6,946,056 ","$170,356 ","$10,045,893 ","January 12, 2001"
1647966193-637,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Adaptation.,Adaptation.,https://www.imdb.com/title/tt0268126/?ref_=adv_li_tt,2002,R,1h 55m,7.7,189K,"February 14, 2003 (United States)","$22,498,520 ","$384,478 ","$32,801,173 ","February 14, 2003"
1647975078-2532,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Volcano,Volcano,https://www.imdb.com/title/tt0120461/?ref_=adv_li_tt,1997,PG-13,1h 44m,5.5,76K,"July 25, 1997 (Thailand)","$49,323,468 ","$14,581,740 ","$122,823,468 ","July 25, 1997"
1647974075-2313,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Devil's Own,The Devil's Own,https://www.imdb.com/title/tt0118972/?ref_=adv_li_tt,1997,R,1h 51m,6.2,64K,"March 26, 1997 (United States)","$42,868,348 ","$14,274,503 ","$140,807,547 ","March 26, 1997"
1647965504-490,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",A Fistful of Dollars,A Fistful of Dollars,https://www.imdb.com/title/tt0058461/?ref_=adv_li_tt,1964,R,1h 39m,7.9,212K,"September 12, 1964 (Italy)","$14,500,000 ",null,"$14,516,248 ","September 12, 1964"
1647978947-3379,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Mandy,Mandy,https://www.imdb.com/title/tt6998518/?ref_=adv_li_tt,2018,Not Rated,2h 1m,6.5,74K,"September 14, 2018 (United States)","$1,233,694 ","$225,723 ","$1,555,203 ","September 14, 2018"
1647965266-442,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Tourist,The Tourist,https://www.imdb.com/title/tt1243957/?ref_=adv_li_tt,2010,PG-13,1h 43m,6,237K,"December 10, 2010 (United Kingdom)","$67,631,157 ","$16,472,458 ","$278,780,441 ","December 10, 2010"
1647965118-423,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250","Definitely, Maybe","Definitely, Maybe",https://www.imdb.com/title/tt0832266/?ref_=adv_li_tt,2008,PG-13,1h 52m,7.2,164K,"February 8, 2008 (United Kingdom)","$32,241,649 ","$9,764,270 ","$55,990,299 ","February 8, 2008"
1647964301-256,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Lars and the Real Girl,Lars and the Real Girl,https://www.imdb.com/title/tt0805564/?ref_=adv_li_tt,2007,PG-13,1h 46m,7.3,144K,"November 2, 2007 (United States)","$5,972,884 ","$90,418 ","$11,293,663 ","November 2, 2007"
1647970017-1451,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Death Proof,Death Proof,https://www.imdb.com/title/tt1028528/?ref_=adv_li_tt,2007,TV-MA,2h 7m,7,285K,"July 26, 2007 (Thailand)",null,null,"$31,126,421 ","July 26, 2007"
1647977982-3168,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Conan the Barbarian,Conan the Barbarian,https://www.imdb.com/title/tt0816462/?ref_=adv_li_tt,2011,R,1h 53m,5.1,98K,"August 19, 2011 (United States)","$21,295,021 ","$10,021,215 ","$63,523,283 ","August 19, 2011"
1647967906-1003,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Dark Shadows,Dark Shadows,https://www.imdb.com/title/tt1077368/?ref_=adv_li_tt,2012,PG-13,1h 53m,6.2,261K,"May 10, 2012 (Australia)","$79,727,149 ","$29,685,274 ","$245,527,149 ","May 10, 2012"
1647976307-2801,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",To Catch a Thief,To Catch a Thief,https://www.imdb.com/title/tt0048728/?ref_=adv_li_tt,1955,PG,1h 46m,7.4,71K,"August 5, 1955 (United States)",null,null,"$2,964 ","August 5, 1955"
1647966393-681,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Due Date,Due Date,https://www.imdb.com/title/tt1231583/?ref_=adv_li_tt,2010,R,1h 35m,6.5,338K,"November 5, 2010 (United States)","$100,539,043 ","$32,689,406 ","$211,780,824 ","November 5, 2010"
1647963529-88,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Mallrats,Mallrats,https://www.imdb.com/title/tt0113749/?ref_=adv_li_tt,1995,R,1h 34m,7.1,121K,"October 20, 1995 (United States)","$2,122,561 ","$1,153,838 ","$2,122,561 ","October 20, 1995"
1647978879-3364,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/?ref_=adv_li_tt,1939,Passed,2h 9m,8.1,114K,"October 19, 1939 (United States)","$144,738 ","$83,205 ","$144,738 ","October 19, 1939"
1647963282-35,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Green Hornet,The Green Hornet,https://www.imdb.com/title/tt0990407/?ref_=adv_li_tt,2011,PG-13,1h 59m,5.8,160K,"February 3, 2011 (Thailand)","$98,780,042 ","$33,526,876 ","$227,817,248 ","February 3, 2011"
1647968533-1138,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Captain Fantastic,Captain Fantastic,https://www.imdb.com/title/tt3553976/?ref_=adv_li_tt,2016,R,1h 58m,7.8,212K,"July 29, 2016 (United States)","$5,879,835 ","$93,824 ","$23,123,592 ","July 29, 2016"
1647975525-2630,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Days of Heaven,Days of Heaven,https://www.imdb.com/title/tt0077405/?ref_=adv_li_tt,1978,PG,1h 34m,7.8,57K,"October 6, 1978 (United States)","$3,446,749 ",null,"$3,475,702 ","October 6, 1978"
1647963467-75,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Last Stand,The Last Stand,https://www.imdb.com/title/tt1549920/?ref_=adv_li_tt,2013,18,1h 47m,6.3,138K,"January 17, 2013 (Thailand)","$12,050,299 ","$6,281,433 ","$48,330,757 ","January 17, 2013"
1647970857-1631,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Spider-Man 2,Spider-Man 2,https://www.imdb.com/title/tt0316654/?ref_=adv_li_tt,2004,PG-13,2h 7m,7.4,626K,"July 1, 2004 (Thailand)","$373,585,825 ","$88,156,227 ","$788,976,453 ","July 1, 2004"
1647970761-1611,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Braveheart,Braveheart,https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt,1995,R,2h 58m,8.4,1M,"May 24, 1995 (United States)","$75,609,945 ","$9,938,276 ","$213,216,216 ","May 24, 1995"
1647975101-2537,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,https://www.imdb.com/title/tt0102975/?ref_=adv_li_tt,1991,PG,1h 50m,7.3,75K,"December 6, 1991 (United States)","$74,888,996 ","$18,162,837 ","$96,888,996 ","December 6, 1991"
1647976354-2811,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",A Perfect World,A Perfect World,https://www.imdb.com/title/tt0107808/?ref_=adv_li_tt,1993,PG-13,2h 18m,7.5,79K,"November 24, 1993 (United States)","$31,130,999 ","$8,075,582 ","$135,130,999 ","November 24, 1993"
1647967840-989,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Magic Mike,Magic Mike,https://www.imdb.com/title/tt1915581/?ref_=adv_li_tt,2012,R,1h 50m,6.1,137K,"July 5, 2012 (Thailand)","$113,781,613 ","$39,127,170 ","$167,800,003 ","July 5, 2012"
1647972736-2023,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Sadak 2,Sadak 2,https://www.imdb.com/title/tt7886848/?ref_=adv_li_tt,2020,TV-MA,2h 13m,1.1,94K,"August 28, 2020 (India)",null,null,"$2,073 ","August 28, 2020"
1647966240-647,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Conjuring 2,The Conjuring 2,https://www.imdb.com/title/tt3065204/?ref_=adv_li_tt,2016,15,2h 14m,7.3,259K,"June 10, 2016 (Canada)","$102,516,140 ","$40,406,314 ","$321,834,351 ","June 10, 2016"
1647966032-602,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Four Brothers,Four Brothers,https://www.imdb.com/title/tt0430105/?ref_=adv_li_tt,2005,R,1h 49m,6.8,143K,"July 1, 2005 (United States)","$74,494,381 ","$21,176,925 ","$92,374,674 ","July 1, 2005"
1647970605-1578,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",X-Men: First Class,X-Men: First Class,https://www.imdb.com/title/tt1270798/?ref_=adv_li_tt,2011,PG-13,2h 11m,7.7,676K,"June 2, 2011 (Thailand)","$146,408,305 ","$55,101,604 ","$352,616,690 ","June 2, 2011"
1647978029-3178,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Karate Kid Part III,The Karate Kid Part III,https://www.imdb.com/title/tt0097647/?ref_=adv_li_tt,1989,PG,1h 52m,5.3,61K,"June 30, 1989 (United States)","$38,956,288 ","$10,364,544 ","$38,956,288 ","June 30, 1989"
1647978786-3344,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Cars 3,Cars 3,https://www.imdb.com/title/tt3606752/?ref_=adv_li_tt,2017,G,1h 42m,6.7,92K,"June 16, 2017 (United States)","$152,901,115 ","$53,688,680 ","$383,930,656 ","June 16, 2017"
1647979073-3407,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Holes,Holes,https://www.imdb.com/title/tt0311289/?ref_=adv_li_tt,2003,PG,1h 57m,7,86K,"April 18, 2003 (United States)","$67,406,573 ","$16,300,155 ","$71,406,573 ","April 18, 2003"
1647971996-1863,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Dilemma,The Dilemma,https://www.imdb.com/title/tt1578275/?ref_=adv_li_tt,2011,PG-13,1h 51m,5.3,54K,"January 14, 2011 (United States)","$48,475,290 ","$17,816,230 ","$69,721,966 ","January 14, 2011"
1647974042-2306,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Harsh Times,Harsh Times,https://www.imdb.com/title/tt0433387/?ref_=adv_li_tt,2005,R,1h 56m,6.8,65K,"March 29, 2007 (Thailand)","$3,337,931 ","$1,968,505 ","$5,969,708 ","March 29, 2007"
1647965524-494,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Wall Street,Wall Street,https://www.imdb.com/title/tt0094291/?ref_=adv_li_tt,1987,R,2h 6m,7.3,153K,"December 11, 1987 (United States)","$43,848,069 ","$4,104,611 ","$43,848,069 ","December 11, 1987"
1647969333-1308,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Iron Man 3,Iron Man 3,https://www.imdb.com/title/tt1300854/?ref_=adv_li_tt,2013,G,2h 10m,7.2,819K,"May 1, 2013 (Thailand)","$409,013,994 ","$174,144,585 ","$1,214,811,252 ","May 1, 2013"
1647970220-1495,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Irreversible,Irreversible,https://www.imdb.com/title/tt0290673/?ref_=adv_li_tt,2002,Not Rated,1h 37m,7.3,131K,"May 24, 2002 (France)","$792,200 ","$60,086 ","$6,479,328 ","May 24, 2002"
1647964458-290,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Secret Window,Secret Window,https://www.imdb.com/title/tt0363988/?ref_=adv_li_tt,2004,PG-13,1h 36m,6.5,192K,"March 12, 2004 (United States)","$48,022,900 ","$18,237,568 ","$92,913,171 ","March 12, 2004"
1647974741-2458,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Trouble with the Curve,Trouble with the Curve,https://www.imdb.com/title/tt2083383/?ref_=adv_li_tt,2012,PG-13,1h 51m,6.8,63K,"September 21, 2012 (United States)","$35,763,137 ","$12,162,040 ","$48,963,137 ","September 21, 2012"
1647971302-1725,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Spider-Man: Homecoming,Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/?ref_=adv_li_tt,2017,G,2h 13m,7.4,618K,"July 7, 2017 (United States)","$334,201,140 ","$117,027,503 ","$880,166,924 ","July 7, 2017"
1647977736-3114,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Wailing,The Wailing,https://www.imdb.com/title/tt5215952/?ref_=adv_li_tt,2016,TV-MA,2h 36m,7.4,64K,"May 12, 2016 (South Korea)","$786,633 ","$77,892 ","$49,851,770 ","May 12, 2016"
1647970050-1458,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Man of Steel,Man of Steel,https://www.imdb.com/title/tt0770828/?ref_=adv_li_tt,2013,13,2h 23m,7.1,747K,"June 13, 2013 (Thailand)","$291,045,518 ","$116,619,362 ","$668,045,518 ","June 13, 2013"
1647964096-211,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",T2 Trainspotting,T2 Trainspotting,https://www.imdb.com/title/tt2763304/?ref_=adv_li_tt,2017,18,1h 57m,7.2,122K,"January 27, 2017 (United Kingdom)","$2,402,004 ","$170,575 ","$41,681,746 ","January 27, 2017"
1647965928-580,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Danish Girl,The Danish Girl,https://www.imdb.com/title/tt0810819/?ref_=adv_li_tt,2015,18,1h 59m,7.1,180K,"February 4, 2016 (Thailand)","$11,114,018 ","$187,318 ","$64,191,523 ","February 4, 2016"
1647979970-3601,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Unfaithful,Unfaithful,https://www.imdb.com/title/tt0250797/?ref_=adv_li_tt,2002,R,2h 4m,6.7,87K,"May 10, 2002 (United States)","$52,775,765 ","$14,065,277 ","$119,137,784 ","May 10, 2002"
1647978573-3297,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Never Been Kissed,Never Been Kissed,https://www.imdb.com/title/tt0151738/?ref_=adv_li_tt,1999,PG-13,1h 47m,6,89K,"April 9, 1999 (United States)","$55,474,756 ","$11,836,707 ","$84,565,230 ","April 9, 1999"
1647964167-227,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Charlie's Angels: Full Throttle,Charlie's Angels: Full Throttle,https://www.imdb.com/title/tt0305357/?ref_=adv_li_tt,2003,PG-13,1h 46m,4.9,127K,"June 27, 2003 (United States)","$100,830,111 ","$37,634,221 ","$259,175,788 ","June 27, 2003"
1647967397-893,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Unbroken,Unbroken,https://www.imdb.com/title/tt1809398/?ref_=adv_li_tt,2014,PG-13,2h 17m,7.2,163K,"March 5, 2015 (Thailand)","$115,637,895 ","$30,621,445 ","$161,459,297 ","March 5, 2015"
1647969162-1272,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Invisible Man,The Invisible Man,https://www.imdb.com/title/tt1051906/?ref_=adv_li_tt,2020,18,2h 4m,7.1,212K,"March 5, 2020 (Thailand)","$70,410,000 ","$28,205,665 ","$143,151,000 ","March 5, 2020"
1647965281-445,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",A Walk to Remember,A Walk to Remember,https://www.imdb.com/title/tt0281358/?ref_=adv_li_tt,2002,PG,1h 41m,7.4,208K,"January 25, 2002 (United States)","$41,281,092 ","$12,177,488 ","$47,494,916 ","January 25, 2002"
1647965952-585,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Wayne's World,Wayne's World,https://www.imdb.com/title/tt0105793/?ref_=adv_li_tt,1992,PG-13,1h 34m,7,154K,"February 14, 1992 (United States)","$121,697,323 ","$18,122,710 ","$183,097,323 ","February 14, 1992"
1647980025-3613,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Army of Thieves,Army of Thieves,https://www.imdb.com/title/tt13024674/?ref_=adv_li_tt,2021,TV-MA,2h 7m,6.4,68K,"October 29, 2021 (Germany)",null,null,null,"October 29, 2021"
1647973790-2251,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Into the Storm,Into the Storm,https://www.imdb.com/title/tt2106361/?ref_=adv_li_tt,2014,PG-13,1h 29m,5.8,68K,"August 7, 2014 (Thailand)","$47,615,959 ","$17,346,427 ","$161,515,959 ","August 7, 2014"
1647976857-2921,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Tango & Cash,Tango & Cash,https://www.imdb.com/title/tt0098439/?ref_=adv_li_tt,1989,R,1h 44m,6.4,104K,"December 22, 1989 (United States)","$63,408,614 ","$6,628,918 ","$63,408,614 ","December 22, 1989"
1647975222-2564,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",New Nightmare,New Nightmare,https://www.imdb.com/title/tt0111686/?ref_=adv_li_tt,1994,R,1h 52m,6.4,57K,"October 14, 1994 (United States)","$18,090,181 ","$6,667,118 ","$19,721,741 ","October 14, 1994"
1647967608-939,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Ocean's Thirteen,Ocean's Thirteen,https://www.imdb.com/title/tt0496806/?ref_=adv_li_tt,2007,PG-13,2h 2m,6.9,339K,"June 8, 2007 (United States)","$117,154,724 ","$36,133,403 ","$311,312,624 ","June 8, 2007"
1647969657-1376,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Sin City,Sin City,https://www.imdb.com/title/tt0401792/?ref_=adv_li_tt,2005,R,2h 4m,8,758K,"May 26, 2005 (Thailand)","$74,103,820 ","$28,100,000 ","$158,733,820 ","May 26, 2005"
1647969478-1339,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Longest Yard,The Longest Yard,https://www.imdb.com/title/tt0398165/?ref_=adv_li_tt,2005,PG-13,1h 53m,6.4,175K,"July 14, 2005 (Thailand)","$158,119,460 ","$47,606,480 ","$191,466,556 ","July 14, 2005"
1647968325-1094,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Gone in 60 Seconds,Gone in 60 Seconds,https://www.imdb.com/title/tt0187078/?ref_=adv_li_tt,2000,PG-13,1h 58m,6.5,273K,"June 23, 2000 (Thailand)","$101,648,571 ","$25,336,048 ","$237,202,299 ","June 23, 2000"
1647977264-3011,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Star Trek: Nemesis,Star Trek: Nemesis,https://www.imdb.com/title/tt0253754/?ref_=adv_li_tt,2002,PG-13,1h 56m,6.4,78K,"December 13, 2002 (United States)","$43,254,409 ","$18,513,305 ","$67,336,470 ","December 13, 2002"
1647975915-2714,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Benchwarmers,The Benchwarmers,https://www.imdb.com/title/tt0437863/?ref_=adv_li_tt,2006,PG-13,1h 25m,5.5,51K,"June 8, 2006 (Thailand)","$59,843,754 ","$19,656,429 ","$64,962,629 ","June 8, 2006"
1647964245-244,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Ran,Ran,https://www.imdb.com/title/tt0089881/?ref_=adv_li_tt,1985,R,2h 42m,8.2,123K,"June 1, 1985 (Japan)","$4,135,750 ","$3,567 ","$4,164,283 ","June 1, 1985"
1647974171-2334,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Sabotage,Sabotage,https://www.imdb.com/title/tt1742334/?ref_=adv_li_tt,2014,18,1h 49m,5.7,63K,"March 28, 2014 (Thailand)","$10,508,518 ","$5,272,444 ","$22,126,842 ","March 28, 2014"
1647973267-2137,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Storks,Storks,https://www.imdb.com/title/tt4624424/?ref_=adv_li_tt,2016,G,1h 27m,6.8,61K,"September 22, 2016 (Thailand)","$72,800,603 ","$21,311,407 ","$183,510,278 ","September 22, 2016"
1647969053-1249,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Jumanji,Jumanji,https://www.imdb.com/title/tt0113497/?ref_=adv_li_tt,1995,PG,1h 44m,7,334K,"December 15, 1995 (United States)","$100,499,940 ","$11,084,370 ","$262,821,940 ","December 15, 1995"
1647963240-26,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Underworld: Rise of the Lycans,Underworld: Rise of the Lycans,https://www.imdb.com/title/tt0834001/?ref_=adv_li_tt,2009,R,1h 32m,6.5,158K,"February 5, 2009 (Thailand)","$45,802,315 ","$20,828,511 ","$92,158,961 ","February 5, 2009"
1647978423-3264,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Short Circuit,Short Circuit,https://www.imdb.com/title/tt0091949/?ref_=adv_li_tt,1986,PG,1h 38m,6.6,61K,"May 9, 1986 (United States)","$40,697,761 ","$5,346,808 ","$40,697,761 ","May 9, 1986"
1647978684-3322,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",The Three Musketeers,The Three Musketeers,https://www.imdb.com/title/tt1509767/?ref_=adv_li_tt,2011,PG-13,1h 50m,5.7,107K,"September 1, 2011 (Germany)","$20,374,484 ","$8,674,452 ","$132,274,484 ","September 1, 2011"
1647963807-148,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Castle in the Sky,Castle in the Sky,https://www.imdb.com/title/tt0092067/?ref_=adv_li_tt,1986,PG,2h 5m,8,162K,"August 2, 1986 (Japan)","$523,664 ","$197,172 ","$6,076,181 ","August 2, 1986"
1647972504-1974,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Charlie Bartlett,Charlie Bartlett,https://www.imdb.com/title/tt0423977/?ref_=adv_li_tt,2007,R,1h 37m,7,65K,"February 22, 2008 (United States)","$3,951,699 ","$1,836,256 ","$5,254,986 ","February 22, 2008"
1647968711-1176,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Train to Busan,Train to Busan,https://www.imdb.com/title/tt5700672/?ref_=adv_li_tt,2016,15,1h 58m,7.6,206K,"August 5, 2016 (Thailand)","$2,129,768 ","$284,776 ","$92,764,199 ","August 5, 2016"
1647969802-1407,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",Office Space,Office Space,https://www.imdb.com/title/tt0151804/?ref_=adv_li_tt,1999,R,1h 29m,7.7,259K,"February 19, 1999 (United States)","$10,827,810 ","$4,231,727 ","$10,828,256 ","February 19, 1999"
1647976515-2846,"https://www.imdb.com/search/title/?title_type=feature&num_votes=50000,120000&count=250",Eat Pray Love,Eat Pray Love,https://www.imdb.com/title/tt0879870/?ref_=adv_li_tt,2010,PG-13,2h 13m,5.8,95K,"October 28, 2010 (Thailand)","$80,574,010 ","$23,104,523 ","$204,594,016 ","October 28, 2010"
1647969678-1380,"https://www.imdb.com/search/title/?title_type=feature&num_votes=120001,&count=250",The Incredibles,The Incredibles,https://www.imdb.com/title/tt0317705/?ref_=adv_li_tt,2004,G,1h 55m,8.1,702K,"December 2, 2004 (Thailand)","$261,441,092 ","$70,467,623 ","$631,607,053 ","December 2, 2004"
