,title,director
159,Veer-Zaara,Yash Chopra
160,What's Your Number?,Mark Mylod
161,Derailed,Mikael Håfström
162,Underwater,William Eubank
163,Showgirls,Paul Verhoeven
164,Splash,Ron Howard
165,You're Next,Adam Wingard
166,Free State of Jones,Gary Ross
167,The Rundown,Peter Berg
168,The Conversation,Francis Ford Coppola
169,Space Cowboys,Clint Eastwood
170,Half Baked,Tamra Davis
171,Cocktail,Roger Donaldson
172,Triangle,Christopher Smith
173,Pride and Glory,Gavin O'Connor
174,Head-On,Fatih Akin
175,"Synecdoche, New York",Charlie Kaufman
176,The Soloist,Joe Wright
177,Jackie,Pablo Larraín
178,Silent Hill: Revelation,M.J. Bassett
179,Easy Rider,Dennis Hopper
180,Automata,Gabe Ibáñez
181,Office Christmas Party,Josh Gordon
181,Office Christmas Party,Will Speck
182,Drive Angry,Patrick Lussier
183,The White Tiger,Ramin Bahrani
184,The Sum of All Fears,Phil Alden Robinson
185,Blue Streak,Les Mayfield
186,Going in Style,Zach Braff
187,Batman: The Killing Joke,Sam Liu
188,Talk to Her,Pedro Almodóvar
189,Dolittle,Stephen Gaghan
190,Ride Along,Tim Story
191,Tell No One,Guillaume Canet
192,Collateral Damage,Andrew Davis
193,Insidious: The Last Key,Adam Robitel
194,The New World,Terrence Malick
195,Star Trek: The Motion Picture,Robert Wise
196,First Reformed,Paul Schrader
197,The Spiderwick Chronicles,Mark Waters
198,Dreamcatcher,Lawrence Kasdan
199,News of the World,Paul Greengrass
200,The Darkest Hour,Chris Gorak
201,Dan in Real Life,Peter Hedges
202,Two Weeks Notice,Marc Lawrence
203,Sooryavanshi,Rohit Shetty
204,A Streetcar Named Desire,Elia Kazan
205,The Inbetweeners,Ben Palmer
206,Fletch,Michael Ritchie
207,Persona,Ingmar Bergman
208,The Fisher King,Terry Gilliam
209,The Secret World of Arrietty,Hiromasa Yonebayashi
210,Paycheck,John Woo
211,Johnny English Strikes Again,David Kerr
212,My Super Ex-Girlfriend,Ivan Reitman
213,I Spit on Your Grave,Steven R. Monroe
214,Queen of the Damned,Michael Rymer
215,Diabolique,Henri-Georges Clouzot
216,The Dark Crystal,Jim Henson
216,The Dark Crystal,Frank Oz
217,Superman II,Richard Lester
217,Superman II,Richard Donner
218,Alfie,Charles Shyer
219,First Knight,Jerry Zucker
220,Mr. Holmes,Bill Condon
221,Sister Act 2: Back in the Habit,Bill Duke
222,Deliver Us from Evil,Scott Derrickson
223,The Wind Rises,Hayao Miyazaki
224,Veronica Mars,Rob Thomas
225,Downton Abbey,Michael Engler
226,Ghost Dog: The Way of the Samurai,Jim Jarmusch
227,James and the Giant Peach,Henry Selick
228,Eddie the Eagle,Dexter Fletcher
229,Blockers,Kay Cannon
230,Superman III,Richard Lester
231,Enter the Void,Gaspar Noé
232,A Man Called Ove,Hannes Holm
233,Malignant,James Wan
234,The House with a Clock in Its Walls,Eli Roth
235,Space Jam: A New Legacy,Malcolm D. Lee
236,The Hustle,Chris Addison
237,"As Above, So Below",John Erick Dowdle
238,Ikiru,Akira Kurosawa
239,The Experiment,Oliver Hirschbiegel
240,Miss Congeniality 2: Armed & Fabulous,John Pasquin
241,"4 Months, 3 Weeks and 2 Days",Cristian Mungiu
242,Crocodile Dundee II,John Cornell
243,Hot Shots!,Jim Abrahams
244,Hotel Artemis,Drew Pearce
245,Titan A.E.,Don Bluth
245,Titan A.E.,Gary Goldman
246,Hereafter,Clint Eastwood
247,The Chaser,Na Hong-jin
248,Never Say Never Again,Irvin Kershner
249,Waking Life,Richard Linklater
250,Changing Lanes,Roger Michell
251,Bloodsport,Newt Arnold
252,House of Flying Daggers,Yimou Zhang
253,Widows,Steve McQueen
254,Step Up Revolution,Scott Speer
255,American Graffiti,George Lucas
256,The Night of the Hunter,Charles Laughton
257,All About My Mother,Pedro Almodóvar
258,The Spirit,Frank Miller
259,Safe,Boaz Yakin
260,The Fourth Kind,Olatunde Osunsanmi
261,Star Trek II: The Wrath of Khan,Nicholas Meyer
262,Coolie No. 1,David Dhawan
263,The Frozen Ground,Scott Walker
264,The Hundred-Foot Journey,Lasse Hallström
265,Bandits,Barry Levinson
266,Philomena,Stephen Frears
267,Elle,Paul Verhoeven
268,Who Am I,Baran bo Odar
269,Blow Out,Brian De Palma
270,The Foreigner,Martin Campbell
271,Quiz Show,Robert Redford
272,The Frighteners,Peter Jackson
273,The Jacket,John Maybury
274,The Rules of Attraction,Roger Avary
275,An American Werewolf in London,John Landis
276,Ella Enchanted,Tommy O'Haver
277,Death Sentence,James Wan
278,Eat Pray Love,Ryan Murphy
279,Breathless,Jean-Luc Godard
280,5 Centimeters per Second,Makoto Shinkai
281,Crash,David Cronenberg
282,Dog Soldiers,Neil Marshall
283,Wimbledon,Richard Loncraine
284,What Ever Happened to Baby Jane?,Robert Aldrich
285,Running Scared,Wayne Kramer
286,48 Hrs.,Walter Hill
287,Another Earth,Mike Cahill
288,Crimes and Misdemeanors,Woody Allen
289,The Player,Robert Altman
290,Bonnie and Clyde,Arthur Penn
291,The Wave,Dennis Gansel
292,Doctor Zhivago,David Lean
293,Mother,Bong Joon Ho
294,The Infiltrator,Brad Furman
295,Let Me In,Matt Reeves
296,Invincible,Ericson Core
297,The Body,Oriol Paulo
298,The Philadelphia Story,George Cukor
299,National Lampoon's European Vacation,Amy Heckerling
300,It's Complicated,Nancy Meyers
301,Bound,Lana Wachowski
301,Bound,Lilly Wachowski
302,Celda 211,Daniel Monzón
303,Men of Honor,George Tillman Jr.
304,Winter Sleep,Nuri Bilge Ceylan
305,The Last Witch Hunter,Breck Eisner
306,The Princess Diaries 2: Royal Engagement,Garry Marshall
307,Get the Gringo,Adrian Grunberg
308,The Secret Life of Pets 2,Chris Renaud
308,The Secret Life of Pets 2,Jonathan del Val
309,Ferdinand,Carlos Saldanha
310,Charlie Bartlett,Jon Poll
311,Point Break,Ericson Core
312,Junior,Ivan Reitman
313,Walk Hard: The Dewey Cox Story,Jake Kasdan
314,The Right Stuff,Philip Kaufman
315,Sphere,Barry Levinson
316,The Bridges of Madison County,Clint Eastwood
317,Date Movie,Aaron Seltzer
317,Date Movie,Jason Friedberg
318,Blue Ruin,Jeremy Saulnier
319,Stepmom,Chris Columbus
320,Jackass Presents: Bad Grandpa,Jeff Tremaine
321,Never Back Down,Jeff Wadlow
322,The Killing Fields,Roland Joffé
323,Far and Away,Ron Howard
324,Vertical Limit,Martin Campbell
325,RV,Barry Sonnenfeld
326,Disconnect,Henry Alex Rubin
327,Little Children,Todd Field
328,Burlesque,Steve Antin
329,Shaft,John Singleton
330,The Last Castle,Rod Lurie
331,The Celebration,Thomas Vinterberg
332,Show Me Love,Lukas Moodysson
333,The Wailing,Na Hong-jin
334,Tenacious D in the Pick of Destiny,Liam Lynch
335,CODA,Sian Heder
336,The Thomas Crown Affair,John McTiernan
337,Dinner for Schmucks,Jay Roach
338,The Day the Earth Stood Still,Robert Wise
339,Gridiron Gang,Phil Joanou
340,Days of Heaven,Terrence Malick
341,Cry-Baby,John Waters
342,Weird Science,John Hughes
343,Night at the Museum: Secret of the Tomb,Shawn Levy
344,Hostel: Part II,Eli Roth
345,All the President's Men,Alan J. Pakula
346,Hannibal Rising,Peter Webber
347,The Straight Story,David Lynch
348,Hostiles,Scott Cooper
349,Minari,Lee Isaac Chung
350,West Side Story,Steven Spielberg
351,Draft Day,Ivan Reitman
352,MASH,Robert Altman
353,Time Bandits,Terry Gilliam
354,Underground,Emir Kusturica
355,Act of Valor,Mike McCoy
355,Act of Valor,Scott Waugh
356,That Awkward Moment,Tom Gormican
357,Death Wish,Eli Roth
358,Pacific Rim: Uprising,Steven S. DeKnight
359,Final Destination 5,Steven Quale
360,Gifted,Marc Webb
361,Chaos,Tony Giglio
362,Arachnophobia,Frank Marshall
363,The Brave One,Neil Jordan
364,Unthinkable,Gregor Jordan
365,Fences,Denzel Washington
366,The Woman in the Window,Joe Wright
367,Zindagi Na Milegi Dobara,Zoya Akhtar
368,I'm Thinking of Ending Things,Charlie Kaufman
369,Caché (Hidden),Michael Haneke
370,Runaway Bride,Garry Marshall
371,The Haunting,Jan de Bont
372,Invasion of the Body Snatchers,Philip Kaufman
373,Kuch Kuch Hota Hai,Karan Johar
374,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki
375,Café Society,Woody Allen
376,The Boxtrolls,Graham Annable
376,The Boxtrolls,Anthony Stacchi
377,After Hours,Martin Scorsese
378,Night Watch,Timur Bekmambetov
379,Goal! The Dream Begins,Danny Cannon
379,Goal! The Dream Begins,Michael Winterbottom
380,Jonah Hex,Jimmy Hayward
381,For Your Eyes Only,John Glen
382,Frank,Lenny Abrahamson
383,The Bandit,Yavuz Turgul
384,All Good Things,Andrew Jarecki
385,Stoker,Park Chan-wook
386,Beerfest,Jay Chandrasekhar
387,The Man Who Knew Too Much,Alfred Hitchcock
388,A Most Violent Year,J.C. Chandor
389,Dumbo,Tim Burton
390,Buffalo '66,Vincent Gallo
391,Secretary,Steven Shainberg
392,Candyman,Bernard Rose
393,Bangkok Dangerous,Danny Pang
393,Bangkok Dangerous,Oxide Chun Pang
394,Steel Magnolias,Herbert Ross
395,Scooby-Doo 2: Monsters Unleashed,Raja Gosnell
396,Excalibur,John Boorman
397,Ringu,Hideo Nakata
398,Eight Legged Freaks,Ellory Elkayem
399,Ghost World,Terry Zwigoff
400,Everything Is Illuminated,Liev Schreiber
401,The Devil's Own,Alan J. Pakula
402,The Death of Stalin,Armando Iannucci
403,The Manchurian Candidate,Jonathan Demme
404,Mousehunt,Gore Verbinski
405,Wolf,Mike Nichols
406,Spy Kids 3: Game Over,Robert Rodriguez
407,Homefront,Gary Fleder
408,Inkheart,Iain Softley
409,The Uninvited,Charles Guard
409,The Uninvited,Thomas Guard
410,Don't Look Now,Nicolas Roeg
411,The Naked Gun 2½: The Smell of Fear,David Zucker
412,The Haunting in Connecticut,Peter Cornwell
413,Thirteen Days,Roger Donaldson
414,S1m0ne,Andrew Niccol
415,Confessions of a Dangerous Mind,George Clooney
416,The Net,Irwin Winkler
417,Frankenstein,James Whale
418,Dennis the Menace,Nick Castle
419,The Loft,Erik Van Looy
420,The Three Musketeers,Paul W.S. Anderson
421,Stir of Echoes,David Koepp
422,Dead Man's Shoes,Shane Meadows
423,The Dukes of Hazzard,Jay Chandrasekhar
424,Crimson Tide,Tony Scott
425,This Boy's Life,Michael Caton-Jones
426,Backdraft,Ron Howard
427,My Fair Lady,George Cukor
428,Universal Soldier,Roland Emmerich
429,Judgment at Nuremberg,Stanley Kramer
430,Patch Adams,Tom Shadyac
431,Go,Doug Liman
432,Mowgli: Legend of the Jungle,Andy Serkis
433,Seventh Son,Sergei Bodrov
434,Dick Tracy,Warren Beatty
435,Why Him?,John Hamburg
436,Revolver,Guy Ritchie
437,Star Wars: The Clone Wars,Dave Filoni
438,The Host,Bong Joon Ho
439,Spanglish,James L. Brooks
440,Kate,Cedric Nicolas-Troyan
441,The Sisters Brothers,Jacques Audiard
442,Shadow of a Doubt,Alfred Hitchcock
443,TRON,Steven Lisberger
444,Cloudy with a Chance of Meatballs 2,Cody Cameron
444,Cloudy with a Chance of Meatballs 2,Kris Pearn
445,Climax,Gaspar Noé
446,Centurion,Neil Marshall
447,Those Who Wish Me Dead,Taylor Sheridan
448,Last Tango in Paris,Bernardo Bertolucci
449,Where the Wild Things Are,Spike Jonze
450,Love and Monsters,Michael Matthews
451,The Great Debaters,Denzel Washington
452,Into the Storm,Steven Quale
453,"Extremely Wicked, Shockingly Evil and Vile",Joe Berlinger
454,The Rum Diary,Bruce Robinson
455,Mortal Kombat,Paul W.S. Anderson
456,Piranha 3D,Alexandre Aja
457,The Farewell,Lulu Wang
458,Uncharted,Ruben Fleischer
459,47 Meters Down,Johannes Roberts
460,Nosferatu,F.W. Murnau
461,Bloodshot,Dave Wilson
462,Chicken Little,Mark Dindal
463,The Man with the Golden Gun,Guy Hamilton
464,Kids,Larry Clark
465,Gulliver's Travels,Rob Letterman
466,Two Night Stand,Max Nichols
467,Salmon Fishing in the Yemen,Lasse Hallström
468,Adrift,Baltasar Kormákur
469,Hellboy,Neil Marshall
470,The King's Man,Matthew Vaughn
471,The Outlaw Josey Wales,Clint Eastwood
472,The Unforgivable,Nora Fingscheidt
473,The Eye,David Moreau
473,The Eye,Xavier Palud
474,The Florida Project,Sean Baker
475,I'm Not There,Todd Haynes
476,Fearless,Ronny Yu
477,All the Money in the World,Ridley Scott
478,Daylight,Rob Cohen
479,Footloose,Herbert Ross
480,Ninja Assassin,James McTeigue
481,Ice Age 5: Collision Course,Michael Thurmeier
481,Ice Age 5: Collision Course,Galen T. Chu
482,Boiler Room,Ben Younger
483,Hot Rod,Akiva Schaffer
484,Sweet Home Alabama,Andy Tennant
485,Arctic,Joe Penna
486,Malcolm X,Spike Lee
487,In the Line of Fire,Wolfgang Petersen
488,Out of Time,Carl Franklin
489,Soylent Green,Richard Fleischer
490,Mechanic: Resurrection,Dennis Gansel
491,Lakeview Terrace,Neil LaBute
492,The 39 Steps,Alfred Hitchcock
493,Beasts of No Nation,Cary Joji Fukunaga
494,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Michael Pressman
495,The Birdcage,Mike Nichols
496,No Reservations,Scott Hicks
497,Arlington Road,Mark Pellington
498,Moonraker,Lewis Gilbert
499,Only the Brave,Joseph Kosinski
500,Friday Night Lights,Peter Berg
501,Wild Child,Nick Moore
502,Conan the Destroyer,Richard Fleischer
503,Innerspace,Joe Dante
504,Zookeeper,Frank Coraci
505,Fifty Shades Darker,James Foley
506,Irrational Man,Woody Allen
507,Krampus,Michael Dougherty
508,Super Mario Bros.,Annabel Jankel
508,Super Mario Bros.,Rocky Morton
509,The Cider House Rules,Lasse Hallström
510,Arthur Christmas,Sarah Smith
510,Arthur Christmas,Barry Cook
511,Night on Earth,Jim Jarmusch
512,The Brothers Bloom,Rian Johnson
513,Cop Out,Kevin Smith
514,Paddington 2,Paul King
515,The Peanut Butter Falcon,Tyler Nilson
515,The Peanut Butter Falcon,Michael Schwartz
516,Sky High,Mike Mitchell
517,Ghajini,A.R. Murugadoss
518,Over the Top,Menahem Golan
519,Dope,Rick Famuyiwa
520,The Adventures of Robin Hood,Michael Curtiz
520,The Adventures of Robin Hood,William Keighley
521,American Ultra,Nima Nourizadeh
522,In the Loop,Armando Iannucci
523,Little Man,Keenen Ivory Wayans
524,30 Minutes or Less,Ruben Fleischer
525,The Wicker Man,Robin Hardy
526,The Legend of Zorro,Martin Campbell
527,Creed II,Steven Caple Jr.
528,Truth or Dare,Jeff Wadlow
529,Pay It Forward,Mimi Leder
530,Happiness,Todd Solondz
531,Shaolin Soccer,Stephen Chow
532,The Voices,Marjane Satrapi
533,Bottle Rocket,Wes Anderson
534,Notes on a Scandal,Richard Eyre
535,The Hustler,Robert Rossen
