year,awards_name,winner,winner_details
1997,Best Actor,Geoffrey Rush,Shine
1997,Best Actress,Brenda Blethyn,Secrets & Lies
1998,Best Actor,Robert Carlyle,The Full Monty
1998,Best Actress,Judi Dench,Mrs. Brown
1999,Best Actor,Roberto Benigni,Life Is Beautiful
1999,Best Actress,Cate Blanchett,Elizabeth
2000,Best Actor,Kevin Spacey,American Beauty
2000,Best Actress,Annette Bening,American Beauty
2001,Best Actor,Jamie Bell,Billy Elliot
2001,Best Actress,Julia Roberts,Erin Brockovich
2002,Best Actor,Russell Crowe,A Beautiful Mind
2002,Best Actress,Judi Dench,Iris
2003,Best Actor,Daniel Day-Lewis,Gangs of New York
2003,Best Actress,Nicole Kidman,The Hours
2004,Best Actor,Bill Murray,Lost in Translation
2004,Best Actress,Scarlett Johansson,Lost in Translation
2005,Best Actor,Jamie Foxx,Ray
2005,Best Actress,Imelda Staunton,Vera Drake
2006,Best Actor,Philip Seymour Hoffman,Capote
2006,Best Actress,Reese Witherspoon,Walk the Line
2007,Best Actor,Forest Whitaker,The Last King of Scotland
2007,Best Actress,Helen Mirren,The Queen
2008,Best Actor,Daniel Day-Lewis,There Will Be Blood
2008,Best Actress,Marion Cotillard,La Vie En Rose
2009,Best Actor,Mickey Rourke,The Wrestler
2009,Best Actress,Kate Winslet,The Reader
2010,Best Actor,Colin Firth,A Single Man
2010,Best Actress,Carey Mulligan,An Education
2011,Best Actor,Colin Firth,The King's Speech
2011,Best Actress,Natalie Portman,Black Swan
2012,Best Actor,Jean Dujardin,The Artist
2012,Best Actress,Meryl Streep,The Iron Lady
2013,Best Actor,Daniel Day-Lewis,Lincoln
2013,Best Actress,Emmanuelle Riva,Amour
2014,Best Actor,Chiwetel Ejiofor,12 Years a Slave
2014,Best Actress,Cate Blanchett,Blue Jasmine
2015,Best Actor,Eddie Redmayne,The Theory of Everything
2015,Best Actress,Julianne Moore,Still Alice
2016,Best Actor,Leonardo DiCaprio,The Revenant
2016,Best Actress,Brie Larson,Room
2017,Best Actor,Casey Affleck,Manchester by the Sea
2017,Best Actress,Emma Stone,La La Land
2018,Best Actor,Gary Oldman,Darkest Hour
2018,Best Actress,Frances McDormand,"Three Billboards Outside Ebbing, Missouri"
2019,Best Actor,Rami Malek,Bohemian Rhapsody
2019,Best Actress,Olivia Colman,The Favourite
2020,Best Director,Sam Mendes,1917
2020,Best Actor,Joaquin Phoenix,Joker
2020,Best Actress,Renée Zellweger,Judy
2021,Best Director,Chloé Zhao,Nomadland
2021,Best Actor,Anthony Hopkins,The Father
2021,Best Actress,Frances McDormand,Nomadland
2022,Best Director,Jane Campion,The Power of the Dog
2022,Best Actor,Will Smith,King Richard
2022,Best Actress,Joanna Scanlan,After Love
