title,genres_rotten,original_release_date,day,month,year,runtime,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Lottery Ticket,Comedy,20-08-10,20,08,2010,95,Rotten,34,82,Spilled,44,29996,24,28,54
Going the Distance,"Comedy, Romance",03-09-10,03,09,2010,98,Rotten,54,167,Spilled,52,57438,39,90,77
Life as We Know It,"Comedy, Drama",08-10-10,08,10,2010,113,Rotten,29,151,Upright,61,82457,41,44,107
The Final,"Drama, Horror, Mystery & Suspense",29-01-10,29,01,2010,,Rotten,13,8,Spilled,32,1088,1,1,7
Frozen,"Drama, Horror, Mystery & Suspense",05-02-10,05,02,2010,93,Fresh,63,97,Spilled,46,20649,32,61,36
Prodigal Sons,"Documentary, Special Interest",26-02-10,26,02,2010,86,Fresh,87,30,Upright,79,476,12,26,4
The Ghost Writer,"Drama, Mystery & Suspense",19-02-10,19,02,2010,129,Certified-Fresh,84,206,Upright,70,60373,47,173,33
Repo Men,"Action & Adventure, Science Fiction & Fantasy",19-03-10,19,03,2010,111,Rotten,22,152,Spilled,41,100490,35,33,119
7 Days (Les 7 jours du talion),"Art House & International, Horror, Mystery & Suspense",05-02-10,05,02,2010,105,Fresh,80,15,Upright,68,1474,2,12,3
Daddy Longlegs,"Comedy, Drama",14-05-10,14,05,2010,,Fresh,78,32,Spilled,52,542,18,25,7
Veer,"Art House & International, Classics, Drama",22-01-10,22,01,2010,156,Rotten,40,5,Spilled,47,1151,0,2,3
Winter's Bone,Drama,11-06-10,11,06,2010,99,Certified-Fresh,94,174,Upright,76,51756,44,164,10
The Kids Are All Right,"Comedy, Drama",09-07-10,09,07,2010,104,Certified-Fresh,92,224,Upright,74,63588,49,207,17
Lucky,"Documentary, Special Interest",31-12-10,31,12,2010,90,Fresh,60,5,Spilled,39,267,2,3,2
High School,Comedy,01-06-12,01,06,2012,99,Rotten,28,54,Spilled,48,8211,18,15,39
Stolen,"Drama, Mystery & Suspense",05-03-10,05,03,2010,97,Rotten,0,20,Spilled,39,2695,12,0,20
The Killing Jar,"Drama, Mystery & Suspense",19-03-10,19,03,2010,90,Rotten,0,8,Spilled,36,589,6,0,8
La MISSION,Drama,09-04-10,09,04,2010,117,Rotten,50,26,Upright,72,5867,9,13,13
Predators,"Action & Adventure, Horror, Science Fiction & Fantasy",09-07-10,09,07,2010,107,Fresh,64,202,Spilled,52,159887,32,130,72
Stonewall Uprising,"Documentary, Special Interest",16-06-10,16,06,2010,82,Fresh,84,31,Upright,76,269,15,26,5
The Oath,"Documentary, Special Interest",07-05-10,07,05,2010,90,Fresh,91,23,Upright,79,432,10,21,2
The Wild Hunt,"Drama, Mystery & Suspense, Science Fiction & Fantasy",17-09-10,17,09,2010,96,Fresh,82,11,Upright,74,711,2,9,2
Arthur,"Comedy, Romance",17-07-81,17,07,1981,97,Fresh,88,33,Upright,77,33549,7,29,4
The Lottery,"Documentary, Special Interest",11-06-10,11,06,2010,81,Fresh,64,14,Upright,76,390,7,9,5
Assault on Precinct 13,"Action & Adventure, Drama, Mystery & Suspense",05-11-76,05,11,1976,91,Certified-Fresh,98,43,Upright,80,24667,5,42,1
